price	locate	disk	cpu	ip	memory	band
19.62	DALLAS, TX	10	1	1	1536	1500
82.95	LOS ANGELES, CA	20	4	1	4096	4000
13.25	BUFFALO, NY	10	1	1	1920	1500
69.82	SEATTLE, WA	35	4	1	4096	3000
24.04	LOS ANGELES, CA	10	1	1	2304	2000
34.59	ATLANTA, GA	10	2	1	1280	1000
11.76	BUFFALO, NY	10	1	1	640	500
9.85	BUFFALO, NY	5	1	1	1024	1000
34.58	LOS ANGELES, CA	10	2	1	1024	1000
15.08	CHICAGO, IL	10	1	1	768	500
15.62	PISCATAWAY, NJ	10	1	1	1024	1000
21.31	BUFFALO, NY	10	1	1	3072	1500
15.13	ATLANTA, GA	10	1	1	1024	500
16.25	SAN JOSE, CA	20	1	1	1536	1000
29.55	BUFFALO, NY	10	2	1	1152	1000
48.31	BUFFALO, NY	10	3	1	2176	2000
63.68	CHICAGO, IL	30	3	1	1792	1500
66.21	BUFFALO, NY	10	4	1	1920	1500
28.52	PISCATAWAY, NJ	10	1	1	3200	3000
47.41	CHICAGO, IL	35	2	1	2688	2500
23.70	BUFFALO, NY	20	1	1	1920	1500
16.45	BUFFALO, NY	10	1	1	2048	2000
14.58	ATLANTA, GA	10	1	1	1280	1000
33.84	BUFFALO, NY	10	3	1	1536	1500
30.72	SAN JOSE, CA	10	2	1	2816	2500
13.59	BUFFALO, NY	10	1	1	1024	1000
27.55	BUFFALO, NY	10	2	1	1792	1500
16.62	ATLANTA, GA	10	1	1	1920	1500
25.31	BUFFALO, NY	20	2	1	1536	1000
18.60	LOS ANGELES, CA	10	1	1	1024	1000
42.76	BUFFALO, NY	10	2	1	4608	4500
35.06	BUFFALO, NY	10	2	1	2432	2000
14.69	PISCATAWAY, NJ	15	1	1	3072	3000
24.45	LOS ANGELES, CA	20	3	1	3072	2500
8.92	SAN JOSE, CA	15	1	1	512	500
35.78	SAN JOSE, CA	100	2	2	3072	2000
18.76	BUFFALO, NY	20	1	1	2176	2000
26.08	DALLAS, TX	20	2	1	1536	1000
17.51	BUFFALO, NY	15	1	1	4096	2000
13.29	BUFFALO, NY	15	1	1	1792	1500
12.28	BUFFALO, NY	15	1	1	1280	1000
10.68	PISCATAWAY, NJ	15	1	1	768	500
8.00	ATLANTA, GA	15	1	1	512	500
53.37	LOS ANGELES, CA	75	4	1	4096	4000
4.95	BUFFALO, NY	5	2	1	384	1000
42.66	SEATTLE, WA	40	3	1	3172	3000
16.48	PISCATAWAY, NJ	10	1	1	1920	1500
16.48	BUFFALO, NY	10	1	1	1280	1000
94.74	SEATTLE, WA	135	4	1	8576	8500
15.32	BUFFALO, NY	15	1	1	1280	1000
9.09	PISCATAWAY, NJ	10	1	1	896	500
79.99	PISCATAWAY, NJ	150	4	4	6144	4000
3.99	BUFFALO, NY	10	2	1	1024	1000
32.68	LOS ANGELES, CA	10	3	1	1024	1000
16.28	CHICAGO, IL	10	1	1	1536	1000
16.30	BUFFALO, NY	10	1	1	1152	1000
35.89	LOS ANGELES, CA	10	3	1	2048	1500
35.90	DALLAS, TX	10	3	1	1024	1000
46.15	LOS ANGELES, CA	10	4	1	3456	2000
16.28	ATLANTA, GA	20	1	1	1152	1000
15.32	PISCATAWAY, NJ	15	1	1	1792	1500
47.93	DALLAS, TX	20	4	1	2432	2000
17.38	LOS ANGELES, CA	15	1	1	1664	1500
12.52	ATLANTA, GA	15	1	1	1152	500
37.58	BUFFALO, NY	10	3	1	1280	1000
24.90	CHICAGO, IL	35	2	1	1920	1000
24.62	BUFFALO, NY	15	2	1	1792	1500
26.74	LOS ANGELES, CA	15	2	1	4096	4500
14.60	SEATTLE, WA	25	1	1	640	500
24.46	PISCATAWAY, NJ	55	2	1	2048	1500
71.43	SEATTLE, WA	80	4	1	7296	7000
12.52	BUFFALO, NY	15	1	1	1280	500
16.45	CHICAGO, IL	20	1	1	1280	1000
24.64	LOS ANGELES, CA	15	2	1	1920	1500
36.66	CHICAGO, IL	15	3	1	2944	2500
16.98	LOS ANGELES, CA	15	1	1	1408	1000
17.58	PISCATAWAY, NJ	25	1	1	1024	1000
25.90	ATLANTA, GA	15	2	1	3584	3500
18.86	SAN JOSE, CA	10	1	1	2688	2500
20.18	DALLAS, TX	40	1	1	1280	1000
22.82	PISCATAWAY, NJ	10	1	1	4480	4000
26.29	BUFFALO, NY	10	2	1	1536	1500
24.62	BUFFALO, NY	15	2	1	1792	1500
24.63	BUFFALO, NY	15	2	1	1664	1500
24.62	BUFFALO, NY	15	2	1	1408	1000
12.52	ATLANTA, GA	15	1	1	1536	1000
42.61	LOS ANGELES, CA	15	4	1	2816	2500
24.60	PISCATAWAY, NJ	15	2	1	1536	1000
22.22	SEATTLE, WA	55	2	1	1408	1000
12.52	BUFFALO, NY	15	1	1	1024	500
47.93	BUFFALO, NY	15	4	1	2816	2500
33.79	BUFFALO, NY	15	3	1	1408	1000
37.40	CHICAGO, IL	30	3	1	2304	2000
33.80	ATLANTA, GA	15	3	1	2048	2000
21.66	PISCATAWAY, NJ	15	1	1	3072	3000
19.81	BUFFALO, NY	10	1	1	5632	5500
45.81	BUFFALO, NY	30	4	1	5120	3500
22.83	BUFFALO, NY	30	2	1	3328	2000
55.36	SEATTLE, WA	35	4	1	4480	4000
26.14	PISCATAWAY, NJ	25	1	1	4480	4000
24.64	LOS ANGELES, CA	15	2	1	1664	1500
12.52	BUFFALO, NY	15	1	1	1152	500
49.94	LOS ANGELES, CA	50	4	1	3328	3000
37.88	BUFFALO, NY	30	4	1	1920	1000
45.95	LOS ANGELES, CA	15	4	1	1408	1000
21.93	PISCATAWAY, NJ	15	2	1	1152	500
11.87	BUFFALO, NY	10	1	1	1152	1000
15.90	BUFFALO, NY	15	1	1	1536	1500
24.60	BUFFALO, NY	15	2	1	1536	1500
13.68	CHICAGO, IL	20	1	1	896	500
35.60	LOS ANGELES, CA	10	3	1	896	500
24.62	BUFFALO, NY	15	2	1	1408	1000
16.13	DALLAS, TX	40	1	1	1280	1000
36.65	BUFFALO, NY	15	3	1	2560	2500
15.90	BUFFALO, NY	15	1	1	1536	1500
24.62	LOS ANGELES, CA	15	2	1	1408	1000
47.97	SEATTLE, WA	40	4	1	1536	1500
35.42	CHICAGO, IL	30	3	1	1664	1000
53.09	LOS ANGELES, CA	55	4	1	2688	1500
10.92	SEATTLE, WA	15	1	1	512	250
24.60	LOS ANGELES, CA	15	2	1	1792	1500
57.85	ATLANTA, GA	15	4	1	7296	7000
33.82	CHICAGO, IL	15	3	1	1408	1000
55.07	LOS ANGELES, CA	55	4	1	3584	3500
23.35	BUFFALO, NY	30	2	1	3456	2500
27.41	CHICAGO, IL	15	2	1	2560	2500
27.42	DALLAS, TX	15	2	1	2304	2000
39.41	SEATTLE, WA	15	3	1	3328	3000
45.79	BUFFALO, NY	15	4	1	2944	2500
15.40	DALLAS, TX	15	1	1	1792	1500
37.40	CHICAGO, IL	30	3	1	2304	2000
13.50	DALLAS, TX	35	1	1	896	500
11.87	LOS ANGELES, CA	10	1	1	1152	1000
29.87	PISCATAWAY, NJ	15	2	1	5376	5000
18.22	BUFFALO, NY	15	1	1	2688	2500
33.82	SEATTLE, WA	15	3	1	1920	1500
27.24	LOS ANGELES, CA	30	2	1	1792	1500
68.74	SEATTLE, WA	85	4	1	6272	6000
41.85	BUFFALO, NY	30	4	1	3584	2500
27.44	LOS ANGELES, CA	15	2	1	2304	2000
36.65	BUFFALO, NY	15	3	1	2560	2500
39.48	LOS ANGELES, CA	10	3	1	7168	7000
64.76	LOS ANGELES, CA	105	4	1	7040	6500
51.93	SEATTLE, WA	45	4	1	2816	1500
24.63	BUFFALO, NY	15	2	1	1408	1000
48.58	LOS ANGELES, CA	20	4	1	2304	1500
14.26	CHICAGO, IL	25	1	1	512	500
8.92	SEATTLE, WA	15	1	1	512	250
120.00	LOS ANGELES, CA	150	6	1	14336	5000
36.00	LOS ANGELES, CA	55	2	1	3072	3500
47.89	LOS ANGELES, CA	50	4	1	6144	4000
8.62	SAN JOSE, CA	10	1	1	384	250
5.32	BUFFALO, NY	5	1	1	512	1000
5.31	BUFFALO, NY	5	1	1	384	500
5.30	BUFFALO, NY	5	1	1	256	1000
5.29	BUFFALO, NY	5	1	1	256	250
65.00	LOS ANGELES, CA	110	4	1	7168	7000
23.52	BUFFALO, NY	10	4	1	8192	4000
38.70	BUFFALO, NY	110	8	1	13568	3000
20.39	BUFFALO, NY	80	8	1	2560	3000
13.99	LOS ANGELES, CA	30	4	1	1664	30
33.33	BUFFALO, NY	35	6	3	6144	3000
15.89	BUFFALO, NY	10	1	1	1024	1000
32.17	PISCATAWAY, NJ	30	4	1	2944	2000
33.44	PISCATAWAY, NJ	55	2	1	2048	1500
43.36	SEATTLE, WA	35	4	1	2304	1500
21.46	BUFFALO, NY	15	2	1	1280	500
29.18	ATLANTA, GA	15	3	1	1536	1000
32.00	BUFFALO, NY	55	2	1	2048	1500
55.36	LOS ANGELES, CA	60	4	1	3840	3500
46.59	DALLAS, TX	15	4	1	2304	2000
46.08	SEATTLE, WA	35	4	1	3200	3000
21.46	BUFFALO, NY	15	2	1	1408	500
60.05	SEATTLE, WA	130	4	1	6272	4000
26.49	BUFFALO, NY	10	3	1	4352	4000
9.98	BUFFALO, NY	10	1	1	896	1000
21.46	BUFFALO, NY	15	2	1	1408	1000
31.90	LOS ANGELES, CA	15	3	1	2432	2000
33.91	LOS ANGELES, CA	15	3	1	1536	1500
28.96	BUFFALO, NY	15	2	1	2944	2500
29.00	LOS ANGELES, CA	30	2	1	1664	1500
7.68	BUFFALO, NY	5	1	1	768	1000
8.21	PISCATAWAY, NJ	15	1	1	768	500
7.68	PISCATAWAY, NJ	10	1	1	512	250
17.26	PISCATAWAY, NJ	10	1	1	2048	1000
21.46	BUFFALO, NY	15	2	1	1408	500
18.67	DALLAS, TX	40	1	1	1152	500
36.90	DALLAS, TX	15	4	1	1536	1000
24.18	CHICAGO, IL	15	2	1	2432	2000
28.33	BUFFALO, NY	10	2	1	2176	2000
45.00	SEATTLE, WA	100	4	1	8192	5000
30.00	ATLANTA, GA	50	2	1	2048	1000
8.95	BUFFALO, NY	15	2	1	1024	500
43.05	BUFFALO, NY	30	4	1	6656	5000
25.04	CHICAGO, IL	15	2	1	1664	1500
32.17	PISCATAWAY, NJ	30	4	1	3072	2000
21.46	BUFFALO, NY	15	2	1	1920	1000
28.33	SEATTLE, WA	10	2	1	2688	2500
53.00	SEATTLE, WA	100	4	1	8192	5000
